feature,importance,importance_pct,ticker,horizon
EMA_5,0.0,0.0,SPCE,1d
SMA_10,0.0,0.0,SPCE,1d
volatility_10,0.0,0.0,SPCE,1d
volatility_5,0.0,0.0,SPCE,1d
sma_cross_10_50,0.0,0.0,SPCE,1d
sma_cross_5_20,0.0,0.0,SPCE,1d
EMA_50,0.0,0.0,SPCE,1d
price_to_sma_10,0.0,0.0,SPCE,1d
SMA_20,0.0,0.0,SPCE,1d
volatility_20,0.0,0.0,SPCE,1d
BB_upper,0.0,0.0,SPCE,1d
BB_middle,0.0,0.0,SPCE,1d
BB_lower,0.0,0.0,SPCE,1d
BB_width,0.0,0.0,SPCE,1d
MACD,0.0,0.0,SPCE,1d
RSI_14,0.0,0.0,SPCE,1d
RSI_overbought,0.0,0.0,SPCE,1d
RSI_oversold,0.0,0.0,SPCE,1d
STOCH_K,0.0,0.0,SPCE,1d
ATR_pct,0.0,0.0,SPCE,1d
ATR,0.0,0.0,SPCE,1d
BB_position,0.0,0.0,SPCE,1d
volume_ma_5,0.0,0.0,SPCE,1d
ADX_strong_trend,0.0,0.0,SPCE,1d
STOCH_D,0.0,0.0,SPCE,1d
ADX,0.0,0.0,SPCE,1d
volume_trend,0.0,0.0,SPCE,1d
volume_ma_10,0.0,0.0,SPCE,1d
volume_acceleration,0.0,0.0,SPCE,1d
volume_spike,0.0,0.0,SPCE,1d
volume_zscore,0.0,0.0,SPCE,1d
MACD_signal,0.0,0.0,SPCE,1d
MACD_hist,0.0,0.0,SPCE,1d
MACD_cross,0.0,0.0,SPCE,1d
OBV,0.0,0.0,SPCE,1d
OBV_ema,0.0,0.0,SPCE,1d
volume_std_20,0.0,0.0,SPCE,1d
AD,0.0,0.0,SPCE,1d
CMF,0.0,0.0,SPCE,1d
volume_price_trend,0.0,0.0,SPCE,1d
VWAP_approx,0.0,0.0,SPCE,1d
AD_slope,0.0,0.0,SPCE,1d
momentum_5,0.0,0.0,SPCE,1d
momentum_10,0.0,0.0,SPCE,1d
hl_spread,0.0,0.0,SPCE,1d
momentum_20,0.0,0.0,SPCE,1d
oc_spread,0.0,0.0,SPCE,1d
position_in_range_5,0.0,0.0,SPCE,1d
momentum_1,0.0,0.0,SPCE,1d
price_vs_vwap,0.0,0.0,SPCE,1d
trend_momentum,0.0,0.0,SPCE,1d
rsi_volume,0.0,0.0,SPCE,1d
volume_volatility,0.0,0.0,SPCE,1d
volume_momentum,0.0,0.0,SPCE,1d
obv_price_divergence,0.0,0.0,SPCE,1d
day_sin,0.0,0.0,SPCE,1d
day_cos,0.0,0.0,SPCE,1d
month_cos,0.0,0.0,SPCE,1d
sentiment_compound,0.0,0.0,SPCE,1d
sentiment_positive,0.0,0.0,SPCE,1d
sentiment_negative,0.0,0.0,SPCE,1d
news_volume,0.0,0.0,SPCE,1d
sentiment_change_1d,0.0,0.0,SPCE,1d
sentiment_trend,0.0,0.0,SPCE,1d
sentiment_rsi,0.0,0.0,SPCE,1d
sentiment_momentum,0.0,0.0,SPCE,1d
CMF,14.375929832458496,11.09620947085566,MRNA,1d
volume_ma_20,13.318499565124512,10.280021030601274,MRNA,1d
EMA_50,12.908580303192139,9.963620627319514,MRNA,1d
OBV_slope,11.487500190734863,8.866745309585971,MRNA,1d
day_cos,9.187640190124512,7.091574686340765,MRNA,1d
trend_momentum,8.834010124206543,6.818621678615405,MRNA,1d
BB_upper,8.429670333862305,6.5065278479310455,MRNA,1d
volume_std_20,6.605169773101807,5.098268303134012,MRNA,1d
ATR_pct,6.409170150756836,4.946983976409077,MRNA,1d
AD,6.268909931182861,4.838722681664369,MRNA,1d
BB_position,6.260429859161377,4.8321772507548575,MRNA,1d
RSI_14,6.008200168609619,4.637491166880673,MRNA,1d
price_vs_vwap,5.203663170337677,4.016501000406537,MRNA,1d
price_to_sma_20,3.810230016708374,2.9409652725264888,MRNA,1d
volume_ma_10,3.621649980545044,2.795407829795705,MRNA,1d
MFI,3.425100088119507,2.643698771442925,MRNA,1d
day_sin,3.4027700424194336,2.62646309573572,MRNA,1d
log_returns,0.0,0.0,MRNA,1d
volatility_10,0.0,0.0,MRNA,1d
volatility_5,0.0,0.0,MRNA,1d
sma_cross_10_50,0.0,0.0,MRNA,1d
sma_cross_5_20,0.0,0.0,MRNA,1d
price_to_sma_50,0.0,0.0,MRNA,1d
SMA_50,0.0,0.0,MRNA,1d
SMA_20,0.0,0.0,MRNA,1d
EMA_20,0.0,0.0,MRNA,1d
SMA_10,0.0,0.0,MRNA,1d
price_to_sma_5,0.0,0.0,MRNA,1d
price_to_sma_10,0.0,0.0,MRNA,1d
EMA_10,0.0,0.0,MRNA,1d
EMA_5,0.0,0.0,MRNA,1d
SMA_5,0.0,0.0,MRNA,1d
returns,0.0,0.0,MRNA,1d
MACD_cross,0.0,0.0,MRNA,1d
STOCH_K,0.0,0.0,MRNA,1d
ATR,0.0,0.0,MRNA,1d
BB_lower,0.0,0.0,MRNA,1d
BB_width,0.0,0.0,MRNA,1d
BB_middle,0.0,0.0,MRNA,1d
volume_ma_5,0.0,0.0,MRNA,1d
STOCH_D,0.0,0.0,MRNA,1d
ADX,0.0,0.0,MRNA,1d
volume_trend,0.0,0.0,MRNA,1d
volume_ratio,0.0,0.0,MRNA,1d
MACD_signal,0.0,0.0,MRNA,1d
MACD_hist,0.0,0.0,MRNA,1d
MACD,0.0,0.0,MRNA,1d
volatility_20,0.0,0.0,MRNA,1d
RSI_overbought,0.0,0.0,MRNA,1d
RSI_oversold,0.0,0.0,MRNA,1d
OBV,0.0,0.0,MRNA,1d
OBV_ema,0.0,0.0,MRNA,1d
volume_spike,0.0,0.0,MRNA,1d
volume_zscore,0.0,0.0,MRNA,1d
volume_acceleration,0.0,0.0,MRNA,1d
ADX_strong_trend,0.0,0.0,MRNA,1d
VWAP_approx,0.0,0.0,MRNA,1d
volume_price_trend,0.0,0.0,MRNA,1d
momentum_5,0.0,0.0,MRNA,1d
momentum_10,0.0,0.0,MRNA,1d
hl_spread,0.0,0.0,MRNA,1d
momentum_20,0.0,0.0,MRNA,1d
oc_spread,0.0,0.0,MRNA,1d
position_in_range_5,0.0,0.0,MRNA,1d
momentum_1,0.0,0.0,MRNA,1d
